SAMPLE,x,y,Block,Plot,Treatment,SOIL,P,K,Mg,pH,Sand,Silt,Clay,som,texture,bulk.density,Total.colembola,Colem.Epigeic,Colem.Hemiedaphic,Colem.Eudaphic,Aranae.>5mm,Aranae.<5mm,Total Aranae,Mites,Isopods,Diplopods.>5mm,Diplopods.<5mm,Total Diplopods,Symphylans,Chilopods.>5mm,Chilopods.<5mm,Total Chilopods,Proturans,Diplurans,Isoptera,Psocoptera,Tysanoptera,Coleoptera.3.4,Coleoptera.2.4,Coleoptera.1.4,Coleoptera.0.4,Total adult coleoptera,Hymenoptera.other,Diptera adult,Coleoptera.lavae,Total Coleoptera,Hymenoptera.lavae,Total.Hymenoptera,Diptera lavae,Other holometabolos,Total Diptera,Total.count,Chelicerata,Hexapoda,Crustacea,Myriapoda
2,359416.9406,335518.261,1,1,Conventional,Sandy Loam,14,64.85,63.65,6.05,56,26,18,3.659,sandy Loam,1.13,383,24,131,228,,1,1,315,,,,0,,,,0,5,,,,,,,,,0,,,1,1,,0,2,,2,707,316,391,0,0
8,359369.7673,335476.152,1,1,Conventional,Sandy Loam,15.2,65.25,63.65,5.69,53,30,17,3.754,sandy Loam,1.38,168,14,97,57,,7,7,156,,,,0,,,,0,2,,1,,,,,,,0,,,,0,,0,2,,2,336,163,173,0,0
11,359319.5654,335468.1823,1,1,Conventional,Clay Loam,10,101.1,77.4,5.93,48,32,20,3.591,Clay Loam,1.43,606,26,243,337,,,0,176,,,,0,,,,0,4,4,,,,,,,,0,,9,,0,,0,8,,17,807,176,631,0,0
19,359300.1922,335442.0954,1,1,Conventional,Sandy Loam,11.8,64.45,63.55,5.73,58,24,18,3.525,sandy Loam,1.46,548,10,201,337,,1,1,233,,,,0,,,6,6,,,,,,,,2,,2,,5,,2,,0,4,,9,799,234,559,0,6
22,359277.9391,335429.2904,1,1,Conventional,Sandy Clay Loam,11.8,77.35,78.2,5.99,55,26,19,3.720,sandy Clay Loam,1.67,215,22,77,116,,,0,49,,,,0,,,,0,1,,,1,,,,,,0,,3,,0,8,8,12,,15,289,49,240,0,0
28,359264.4871,335464.7777,1,2,Conservation,Sandy Loam,12.4,124.05,77.85,6.39,59,24,17,3.412,sandy Loam,1.63,510,14,60,436,,1,1,33,,,,0,,,,0,5,,,,,,,,,0,,9,,0,,0,1,,10,559,34,525,0,0
33,359292.3979,335474.7429,1,2,Conservation,Sandy Loam,15.4,112.4,81.4,5.72,56,26,18,3.740,sandy Loam,1.72,420,39,177,204,,,0,471,,,,0,,1,,1,2,4,,,,,1,,,1,,,1,2,,0,2,,2,902,471,430,0,1
40,359317.752,335480.037,1,2,Conservation,Clay Loam,15.8,128.1,71.4,6.36,49,31,20,3.756,Clay Loam,1.4,1251,121,425,705,,4,4,185,,,1,1,,,,0,,,,,,,,1,,1,,2,2,3,,0,4,,6,1450,189,1260,0,1
44,359387.4382,335527.6155,1,2,Conservation,Sandy Loam,15,182.1,76.9,6.14,56,27,17,3.891,sandy Loam,1.36,560,2,177,381,,,0,31,,,,0,,,,0,1,,,,,,,,,0,,2,,0,,0,,,2,594,31,563,0,0
48,359402.0449,335525.9359,1,2,Conservation,Sandy Loam,9.6,112.4,69.35,5.92,57,25,18,3.595,sandy Loam,1.44,742,8,102,632,,,0,86,,,1,1,,,,0,38,1,,,,,,,,0,,5,,0,,0,1,,6,874,86,787,0,1
